Month,Block Reward (BTC),Daily Issuance (BTC),Monthly_Issuance_(BTC),Total Circulating Supply (BTC)
2009-02,50,7200,201600,201600
2009-03,50,7200,223200,424800
2009-04,50,7200,216000,640800
2009-05,50,7200,223200,864000
2009-06,50,7200,216000,1080000
2009-07,50,7200,223200,1303200
2009-08,50,7200,223200,1526400
2009-09,50,7200,216000,1742400
2009-10,50,7200,223200,1965600
2009-11,50,7200,216000,2181600
2009-12,50,7200,223200,2404800
2010-01,50,7200,223200,2628000
2010-02,50,7200,201600,2829600
2010-03,50,7200,223200,3052800
2010-04,50,7200,216000,3268800
2010-05,50,7200,223200,3492000
2010-06,50,7200,216000,3708000
2010-07,50,7200,223200,3931200
2010-08,50,7200,223200,4154400
2010-09,50,7200,216000,4370400
2010-10,50,7200,223200,4593600
2010-11,50,7200,216000,4809600
2010-12,50,7200,223200,5032800
2011-01,50,7200,223200,5256000
2011-02,50,7200,201600,5457600
2011-03,50,7200,223200,5680800
2011-04,50,7200,216000,5896800
2011-05,50,7200,223200,6120000
2011-06,50,7200,216000,6336000
2011-07,50,7200,223200,6559200
2011-08,50,7200,223200,6782400
2011-09,50,7200,216000,6998400
2011-10,50,7200,223200,7221600
2011-11,50,7200,216000,7437600
2011-12,50,7200,223200,7660800
2012-01,50,7200,223200,7884000
2012-02,50,7200,208800,8092800
2012-03,50,7200,223200,8316000
2012-04,50,7200,216000,8532000
2012-05,50,7200,223200,8755200
2012-06,50,7200,216000,8971200
2012-07,50,7200,223200,9194400
2012-08,50,7200,223200,9417600
2012-09,50,7200,216000,9633600
2012-10,50,7200,223200,9856800
2012-11,50,7200,216000,10072800
2012-12,25,3600,111600,10184400
2013-01,25,3600,111600,10296000
2013-02,25,3600,100800,10396800
2013-03,25,3600,111600,10508400
2013-04,25,3600,108000,10616400
2013-05,25,3600,111600,10728000
2013-06,25,3600,108000,10836000
2013-07,25,3600,111600,10947600
2013-08,25,3600,111600,11059200
2013-09,25,3600,108000,11167200
2013-10,25,3600,111600,11278800
2013-11,25,3600,108000,11386800
2013-12,25,3600,111600,11498400
2014-01,25,3600,111600,11610000
2014-02,25,3600,100800,11710800
2014-03,25,3600,111600,11822400
2014-04,25,3600,108000,11930400
2014-05,25,3600,111600,12042000
2014-06,25,3600,108000,12150000
2014-07,25,3600,111600,12261600
2014-08,25,3600,111600,12373200
2014-09,25,3600,108000,12481200
2014-10,25,3600,111600,12592800
2014-11,25,3600,108000,12700800
2014-12,25,3600,111600,12812400
2015-01,25,3600,111600,12924000
2015-02,25,3600,100800,13024800
2015-03,25,3600,111600,13136400
2015-04,25,3600,108000,13244400
2015-05,25,3600,111600,13356000
2015-06,25,3600,108000,13464000
2015-07,25,3600,111600,13575600
2015-08,25,3600,111600,13687200
2015-09,25,3600,108000,13795200
2015-10,25,3600,111600,13906800
2015-11,25,3600,108000,14014800
2015-12,25,3600,111600,14126400
2016-01,25,3600,111600,14238000
2016-02,25,3600,104400,14342400
2016-03,25,3600,111600,14454000
2016-04,25,3600,108000,14562000
2016-05,25,3600,111600,14673600
2016-06,25,3600,108000,14781600
2016-07,25,3600,111600,14893200
2016-08,12.5,1800,55800,14949000
2016-09,12.5,1800,54000,15003000
2016-10,12.5,1800,55800,15058800
2016-11,12.5,1800,54000,15112800
2016-12,12.5,1800,55800,15168600
2017-01,12.5,1800,55800,15224400
2017-02,12.5,1800,50400,15274800
2017-03,12.5,1800,55800,15330600
2017-04,12.5,1800,54000,15384600
2017-05,12.5,1800,55800,15440400
2017-06,12.5,1800,54000,15494400
2017-07,12.5,1800,55800,15550200
2017-08,12.5,1800,55800,15606000
2017-09,12.5,1800,54000,15660000
2017-10,12.5,1800,55800,15715800
2017-11,12.5,1800,54000,15769800
2017-12,12.5,1800,55800,15825600
2018-01,12.5,1800,55800,15881400
2018-02,12.5,1800,50400,15931800
2018-03,12.5,1800,55800,15987600
2018-04,12.5,1800,54000,16041600
2018-05,12.5,1800,55800,16097400
2018-06,12.5,1800,54000,16151400
2018-07,12.5,1800,55800,16207200
2018-08,12.5,1800,55800,16263000
2018-09,12.5,1800,54000,16317000
2018-10,12.5,1800,55800,16372800
2018-11,12.5,1800,54000,16426800
2018-12,12.5,1800,55800,16482600
2019-01,12.5,1800,55800,16538400
2019-02,12.5,1800,50400,16588800
2019-03,12.5,1800,55800,16644600
2019-04,12.5,1800,54000,16698600
2019-05,12.5,1800,55800,16754400
2019-06,12.5,1800,54000,16808400
2019-07,12.5,1800,55800,16864200
2019-08,12.5,1800,55800,16920000
2019-09,12.5,1800,54000,16974000
2019-10,12.5,1800,55800,17029800
2019-11,12.5,1800,54000,17083800
2019-12,12.5,1800,55800,17139600
2020-01,12.5,1800,55800,17195400
2020-02,12.5,1800,52200,17247600
2020-03,12.5,1800,55800,17303400
2020-04,12.5,1800,54000,17357400
2020-05,12.5,1800,55800,17413200
2020-06,6.25,900,27000,17440200
2020-07,6.25,900,27900,17468100
2020-08,6.25,900,27900,17496000
2020-09,6.25,900,27000,17523000
2020-10,6.25,900,27900,17550900
2020-11,6.25,900,27000,17577900
