,Name,Pos,HT,WT,Age,YOS,Draft Status
5,Precious Achiuwa,SF,6-8,243,25,4,2020 Rnd 1 Pick 20
12,Steven Adams,C,6-11,265,31,11,2013 Rnd 1 Pick 12
13,Bam Adebayo,C,6-9,255,27,7,2017 Rnd 1 Pick 14
30,Ochai Agbaji,SF,6-5,215,24,2,2022 Rnd 1 Pick 14
7,Santi Aldama,C,7-0,215,24,3,2021 Rnd 1 Pick 30
23,Trey Alexander,SG,6-4,185,22,0,"2024 NBA Draft, Undrafted"
9,Nickeil Alexander-Walker,SG,6-5,205,26,5,2019 Rnd 1 Pick 17
8,Grayson Allen,SG,6-4,198,29,6,2018 Rnd 1 Pick 21
31,Jarrett Allen,C,6-9,243,26,7,2017 Rnd 1 Pick 22
15,Jose Alvarado,G,6-0,179,26,3,"2021 NBA Draft, Undrafted"
20,Kyle Anderson,PF,6-9,230,31,10,2014 Rnd 1 Pick 30
34,Giannis Antetokounmpo,F,6-11,243,30,11,2013 Rnd 1 Pick 15
50,Cole Anthony,PG,6-2,185,24,4,2020 Rnd 1 Pick 15
8,OG Anunoby,SF,6-7,240,27,7,2017 Rnd 1 Pick 23
1,Taran Armstrong,G,6-5,190,23,0,"2024 NBA Draft, Undrafted"
8,Deni Avdija,SG,6-9,240,24,4,2020 Rnd 1 Pick 9
2,Deandre Ayton,C,7-0,252,26,6,2018 Rnd 1 Pick 1
35,Marvin Bagley III,PF,6-10,235,26,6,2018 Rnd 1 Pick 2
35,Marcus Bagley,SF,6-6,217,23,0,"2023 NBA Draft, Undrafted"
23,"Patrick Baldwin, Jr.",SG,6-9,220,22,2,2022 Rnd 1 Pick 28
1,LaMelo Ball,G,6-7,180,23,4,2020 Rnd 1 Pick 3
2,Lonzo Ball,PG,6-6,190,27,7,2017 Rnd 1 Pick 2
5,Paolo Banchero,C,6-10,250,22,2,2022 Rnd 1 Pick 1
22,Desmond Bane,SG,6-5,215,26,4,2020 Rnd 1 Pick 30
5,Dalano Banton,PG,6-8,203,25,3,2021 Rnd 2 Pick 16
